title,artist,i,me,my,myself,we,our,ours,ourselves,you,your,yours,yourself,yourselves,he,him,his,himself,she,her,hers,herself,it,its,itself,they,them,their,theirs,themselves,what,which,who,whom,this,that,these,those,am,is,are,was,were,be,been,being,have,has,had,having,do,does,did,doing,a,an,the,and,but,if,or,because,as,until,while,of,at,by,for,with,about,against,between,into,through,during,before,after,above,below,to,from,up,down,in,out,on,off,over,under,again,further,then,once,here,there,when,where,why,how,all,any,both,each,few,more,most,other,some,such,no,nor,not,only,own,same,so,than,too,very,s,t,can,will,just,don,should,now,d,ll,m,o,re,ve,y,ain,aren,couldn,didn,doesn,hadn,hasn,haven,isn,ma,mightn,mustn,needn,shan,shouldn,wasn,weren,won,wouldn,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,im,like,na,got,oh,dont,know,love,get,go,baby,wan,make,yeah,youre,cause,girl,see,want,cant,gon,one,let,aint,say,never,right,take,time,back,period,comma,colon,semi-colon,dash,single quote,double quotes,left paren,right paren,question mark,average characters,uniqueness,average words,num long words
bad day,daniel powter,0.0107238605898,0.0160857908847,0.0,0.0,0.00268096514745,0.0,0.0,0.0,0.112600536193,0.00804289544236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187667560322,0.0,0.0,0.00804289544236,0.0,0.0,0.0,0.0,0.00536193029491,0.0,0.0,0.0,0.0,0.00536193029491,0.0,0.0,0.0,0.0134048257373,0.0,0.0,0.0,0.00268096514745,0.00268096514745,0.0,0.0,0.0,0.0375335120643,0.0,0.0,0.00268096514745,0.0,0.0,0.0697050938338,0.0,0.0428954423592,0.0402144772118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107238605898,0.0,0.00804289544236,0.00268096514745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187667560322,0.0,0.00536193029491,0.0134048257373,0.00268096514745,0.00268096514745,0.00268096514745,0.00268096514745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00536193029491,0.00536193029491,0.0,0.00268096514745,0.0,0.0,0.0,0.0,0.0,0.00268096514745,0.00536193029491,0.0,0.0,0.0,0.00804289544236,0.0,0.00536193029491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107238605898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,3.0,37.0,4.0,0.0,0.0,8.0,13.0,0.00552486187845,0.00552486187845,0.0,0.0,0.0110497237569,0.0718232044199,0.0220994475138,0.0,0.0,0.0220994475138,0.0,0.0,0.00552486187845,0.0,0.0386740331492,0.0,0.0,0.00552486187845,0.0,0.0,0.0,0.0220994475138,0.0,0.0,0.0220994475138,0.0,0.0,0.0,0.0110497237569,0.0165745856354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30939226519,0.441988950276,373.0,0.187845303867
temperature,sean paul,0.0415913200723,0.0216998191682,0.00723327305606,0.0,0.00361663652803,0.0,0.0,0.0,0.0723327305606,0.00361663652803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180831826401,0.0,0.0,0.0,0.00361663652803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00180831826401,0.0,0.0,0.0,0.0,0.00542495479204,0.0,0.0,0.0,0.0271247739602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180831826401,0.0,0.0759493670886,0.0216998191682,0.00361663652803,0.00361663652803,0.0,0.00180831826401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00361663652803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343580470163,0.0144665461121,0.00180831826401,0.00180831826401,0.00180831826401,0.0162748643761,0.0126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00361663652803,0.00180831826401,0.00180831826401,0.0,0.0,0.00180831826401,0.00542495479204,0.0,0.0,0.0,0.0,0.0,0.0,0.00180831826401,0.0,0.0,0.0198915009042,0.00361663652803,0.0,0.0,0.0,0.0,0.00723327305606,0.0,0.0,0.0,0.0,0.0,0.0108499095841,0.0,0.00180831826401,0.0,0.0,0.00361663652803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,1.0,0.0,11.0,62.0,15.0,0.0,1.0,15.0,0.0,0.0,0.01393728223,0.0348432055749,0.0418118466899,0.0383275261324,0.01393728223,0.00348432055749,0.00348432055749,0.0,0.00348432055749,0.0104529616725,0.0348432055749,0.0104529616725,0.0,0.0,0.0104529616725,0.0313588850174,0.00696864111498,0.0104529616725,0.00696864111498,0.0,0.0,0.0,0.0,0.00348432055749,0.0,0.0418118466899,0.0,0.0209059233449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38327526132,0.439024390244,543.0,0.184668989547
promiscuous,nelly furtado featuring timbaland,0.0448275862069,0.0275862068966,0.0137931034483,0.00172413793103,0.00689655172414,0.0,0.0,0.0,0.0810344827586,0.0137931034483,0.00344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172413793103,0.0,0.0,0.0103448275862,0.00689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0155172413793,0.0,0.0,0.0,0.00172413793103,0.0189655172414,0.0,0.00172413793103,0.00172413793103,0.0051724137931,0.0103448275862,0.00172413793103,0.0051724137931,0.0103448275862,0.0,0.0,0.00172413793103,0.0,0.0,0.0,0.00689655172414,0.00172413793103,0.0,0.00172413793103,0.0189655172414,0.0,0.0258620689655,0.0103448275862,0.00689655172414,0.0120689655172,0.0,0.0,0.0,0.0,0.0,0.0103448275862,0.00344827586207,0.00172413793103,0.0103448275862,0.00689655172414,0.00172413793103,0.0,0.0,0.0,0.0,0.0,0.00172413793103,0.0,0.0,0.0,0.0137931034483,0.0,0.0,0.00172413793103,0.00862068965517,0.00344827586207,0.0172413793103,0.00344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172413793103,0.0,0.00172413793103,0.00862068965517,0.0,0.0,0.0,0.0,0.00172413793103,0.0,0.0,0.00172413793103,0.0,0.0051724137931,0.0,0.0,0.00172413793103,0.0,0.00172413793103,0.00689655172414,0.0,0.0,0.0,0.0,0.0,0.0137931034483,0.00172413793103,0.00172413793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,1.0,54.0,14.0,0.0,0.0,18.0,19.0,0.0347222222222,0.00347222222222,0.00347222222222,0.0208333333333,0.0,0.0416666666667,0.0277777777778,0.0,0.0416666666667,0.0,0.0,0.00347222222222,0.0,0.0,0.0208333333333,0.00694444444444,0.0347222222222,0.0138888888889,0.0243055555556,0.00347222222222,0.00347222222222,0.00694444444444,0.00694444444444,0.00347222222222,0.00347222222222,0.0,0.00694444444444,0.00347222222222,0.00694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92361111111,0.576388888889,577.0,0.270833333333
youre beautiful,james blunt,0.0552486187845,0.00552486187845,0.0220994475138,0.0,0.0110497237569,0.0,0.0,0.0,0.0110497237569,0.0110497237569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276243093923,0.0110497237569,0.0,0.0,0.0,0.0220994475138,0.0,0.0,0.0,0.0,0.0,0.0,0.0110497237569,0.0,0.0,0.0,0.0,0.0331491712707,0.0,0.0,0.0,0.0165745856354,0.0,0.0110497237569,0.0,0.0276243093923,0.0,0.0,0.0,0.0,0.0,0.0,0.0110497237569,0.0,0.0,0.0,0.0276243093923,0.0110497237569,0.0165745856354,0.0165745856354,0.0165745856354,0.0,0.0,0.0,0.00552486187845,0.0,0.0,0.00552486187845,0.00552486187845,0.00552486187845,0.0,0.0331491712707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165745856354,0.00552486187845,0.00552486187845,0.0,0.0110497237569,0.0,0.0220994475138,0.0,0.0,0.0,0.00552486187845,0.0,0.0,0.0,0.0,0.00552486187845,0.00552486187845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00552486187845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110497237569,0.0,0.0,0.00552486187845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0117647058824,0.0,0.0,0.0117647058824,0.0,0.0352941176471,0.0235294117647,0.0117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0705882352941,0.0352941176471,0.0,0.0235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352941176471,0.0,0.0,0.0117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23529411765,0.588235294118,181.0,0.305882352941
hips dont lie,shakira featuring wyclef jean,0.0295138888889,0.00694444444444,0.015625,0.0,0.00694444444444,0.00173611111111,0.0,0.0,0.0416666666667,0.00520833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666667,0.0,0.0,0.0,0.00347222222222,0.00868055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.00347222222222,0.0,0.0,0.0,0.0121527777778,0.0104166666667,0.0,0.0,0.0121527777778,0.00694444444444,0.0,0.0,0.0,0.00520833333333,0.0,0.0,0.00520833333333,0.0,0.0,0.0,0.00173611111111,0.0,0.0,0.00347222222222,0.0190972222222,0.0,0.03125,0.0243055555556,0.00347222222222,0.0,0.0,0.0,0.0,0.00173611111111,0.0,0.00520833333333,0.0,0.0,0.00173611111111,0.00173611111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190972222222,0.00347222222222,0.00520833333333,0.0,0.00347222222222,0.0,0.0208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00347222222222,0.0,0.00868055555556,0.0,0.00173611111111,0.0,0.00347222222222,0.0,0.0,0.0,0.0,0.00173611111111,0.0,0.0,0.0,0.0,0.015625,0.0,0.00173611111111,0.0,0.00347222222222,0.0,0.0121527777778,0.0,0.00173611111111,0.0,0.0,0.0,0.00868055555556,0.00173611111111,0.00173611111111,0.0,0.0,0.00347222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,1.0,22.0,43.0,26.0,0.0,2.0,20.0,13.0,0.0115942028986,0.031884057971,0.00289855072464,0.00579710144928,0.0,0.0289855072464,0.0202898550725,0.0,0.0,0.0144927536232,0.0231884057971,0.00289855072464,0.00579710144928,0.0,0.0,0.00289855072464,0.00579710144928,0.0202898550725,0.0,0.00289855072464,0.0,0.0,0.00289855072464,0.00289855072464,0.00289855072464,0.00869565217391,0.0115942028986,0.0,0.0,0.00579710144928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88695652174,0.449275362319,574.0,0.278260869565
unwritten,natasha bedingfield,0.00460829493088,0.0,0.00691244239631,0.0,0.0,0.0,0.0,0.0,0.0437788018433,0.0529953917051,0.0,0.0115207373272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299539170507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00921658986175,0.0,0.0,0.00230414746544,0.0230414746544,0.00230414746544,0.0,0.0,0.0,0.00230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073732718894,0.0,0.00230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00691244239631,0.0,0.0184331797235,0.0115207373272,0.0,0.0,0.0,0.0,0.0,0.0,0.00691244239631,0.0,0.0,0.0,0.00230414746544,0.0,0.00691244239631,0.0,0.0322580645161,0.0,0.0230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115207373272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345622119816,0.0,0.00921658986175,0.0115207373272,0.0,0.0,0.00691244239631,0.0,0.0,0.0,0.0,0.0,0.0414746543779,0.0,0.00230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,55.0,24.0,0.0,0.0,16.0,3.0,0.00904977375566,0.0,0.0,0.0,0.00452488687783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00452488687783,0.00904977375566,0.0,0.0,0.0,0.0,0.0,0.00904977375566,0.0,0.0678733031674,0.0361990950226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.20814479638,0.289592760181,434.0,0.248868778281
crazy,gnarls barkley,0.0829015544041,0.0155440414508,0.0103626943005,0.0,0.0,0.0,0.0,0.0,0.0362694300518,0.0155440414508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103626943005,0.00518134715026,0.0,0.0,0.00518134715026,0.00518134715026,0.0,0.0,0.0,0.0,0.020725388601,0.0,0.0,0.0259067357513,0.0,0.0,0.0,0.00518134715026,0.0103626943005,0.020725388601,0.00518134715026,0.00518134715026,0.0,0.0,0.0,0.0,0.0103626943005,0.00518134715026,0.020725388601,0.0103626943005,0.0,0.0,0.00518134715026,0.00518134715026,0.0103626943005,0.0155440414508,0.0103626943005,0.0,0.0,0.00518134715026,0.0,0.0,0.0,0.0103626943005,0.0,0.0,0.0,0.0,0.00518134715026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103626943005,0.0,0.0,0.0,0.0103626943005,0.0155440414508,0.0103626943005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103626943005,0.020725388601,0.0,0.0,0.0,0.00518134715026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00518134715026,0.0,0.0,0.00518134715026,0.0,0.0,0.0103626943005,0.0,0.00518134715026,0.0,0.0,0.0,0.00518134715026,0.0,0.0103626943005,0.0,0.0,0.00518134715026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,7.0,18.0,4.0,0.0,0.0,6.0,1.0,0.0217391304348,0.0326086956522,0.0,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0,0.0326086956522,0.0108695652174,0.0652173913043,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22826086957,0.652173913043,193.0,0.25
ridin,chamillionaire featuring krayzie bone,0.0148514851485,0.0653465346535,0.0188118811881,0.0,0.00990099009901,0.0,0.0,0.0,0.0118811881188,0.000990099009901,0.0,0.0,0.0,0.0,0.0,0.000990099009901,0.0,0.000990099009901,0.0,0.0,0.0,0.0019801980198,0.0019801980198,0.0,0.0326732673267,0.0019801980198,0.0,0.0,0.0,0.000990099009901,0.0,0.000990099009901,0.0,0.0039603960396,0.0108910891089,0.0,0.0,0.000990099009901,0.0039603960396,0.0,0.0,0.0,0.0029702970297,0.0029702970297,0.0,0.0039603960396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188118811881,0.000990099009901,0.0207920792079,0.0207920792079,0.0039603960396,0.000990099009901,0.0019801980198,0.0,0.000990099009901,0.000990099009901,0.000990099009901,0.0029702970297,0.0029702970297,0.0019801980198,0.0049504950495,0.0039603960396,0.000990099009901,0.0,0.0,0.000990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0623762376238,0.0,0.0108910891089,0.0019801980198,0.0108910891089,0.000990099009901,0.00990099009901,0.000990099009901,0.000990099009901,0.0,0.0019801980198,0.0,0.000990099009901,0.0,0.0,0.0,0.0029702970297,0.0,0.0,0.0,0.0039603960396,0.0,0.0,0.0,0.0,0.000990099009901,0.0,0.0,0.0029702970297,0.0,0.0019801980198,0.0,0.0019801980198,0.0,0.0,0.0,0.00891089108911,0.0,0.0,0.0,0.0,0.0,0.0039603960396,0.000990099009901,0.000990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,2.0,13.0,74.0,22.0,1.0,0.0,18.0,12.0,0.0186440677966,0.0118644067797,0.0101694915254,0.0118644067797,0.0,0.00169491525424,0.00508474576271,0.0,0.00847457627119,0.00169491525424,0.0,0.00169491525424,0.0,0.0,0.0,0.00677966101695,0.00169491525424,0.0152542372881,0.00169491525424,0.00677966101695,0.00847457627119,0.00169491525424,0.00169491525424,0.0101694915254,0.0,0.0,0.00338983050847,0.0,0.0,0.00338983050847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87796610169,0.435593220339,1000.0,0.193220338983
sexyback,justin timberlake featuring timbaland,0.0123647604328,0.0247295208655,0.0,0.0,0.0,0.0,0.0,0.0,0.0216383307573,0.0448222565688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710973724884,0.00463678516229,0.0,0.0,0.00309119010819,0.0,0.0,0.0,0.00463678516229,0.0,0.0,0.0,0.00309119010819,0.00309119010819,0.00309119010819,0.00463678516229,0.0,0.0,0.0,0.0,0.0,0.0695517774343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015455950541,0.0,0.015455950541,0.00772797527048,0.0,0.00463678516229,0.0,0.0,0.0,0.0,0.0,0.0,0.00463678516229,0.0,0.00463678516229,0.0741885625966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015455950541,0.0,0.00618238021638,0.0,0.0,0.0,0.0417310664606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00927357032457,0.0,0.0,0.0,0.0,0.00463678516229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015455950541,0.0,0.0,0.00309119010819,0.0,0.0,0.0,0.0,0.0,0.0015455950541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00309119010819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,68.0,20.0,0.0,0.0,65.0,1.0,0.0145772594752,0.0,0.0,0.00291545189504,0.0,0.00583090379009,0.00583090379009,0.0,0.0728862973761,0.131195335277,0.00583090379009,0.0,0.0116618075802,0.0116618075802,0.00291545189504,0.00583090379009,0.0145772594752,0.0145772594752,0.0,0.0,0.0,0.00583090379009,0.0174927113703,0.0,0.0,0.0,0.0,0.0145772594752,0.0,0.0233236151603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80758017493,0.198250728863,646.0,0.0816326530612
check on it,beyonce featuring slim thug,0.0222634508349,0.0241187384045,0.00742115027829,0.0,0.0,0.0,0.0,0.0,0.0797773654917,0.00185528756957,0.0,0.0,0.0,0.00742115027829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100185528757,0.00371057513915,0.0,0.00185528756957,0.00371057513915,0.0,0.0,0.0,0.00927643784787,0.0,0.0,0.0,0.00371057513915,0.00556586270872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00556586270872,0.0,0.0,0.00371057513915,0.0,0.0,0.0,0.00371057513915,0.0,0.0,0.0,0.00556586270872,0.0,0.00371057513915,0.0222634508349,0.012987012987,0.00556586270872,0.0,0.0,0.00371057513915,0.0,0.012987012987,0.0,0.00371057513915,0.0,0.0,0.00371057513915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111317254174,0.0,0.038961038961,0.00185528756957,0.0111317254174,0.0,0.0519480519481,0.0,0.00742115027829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00742115027829,0.0,0.0,0.0,0.0,0.00371057513915,0.0,0.0,0.00371057513915,0.0,0.00371057513915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00742115027829,0.0,0.00185528756957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1.0,0.0,17.0,46.0,20.0,0.0,0.0,23.0,5.0,0.0377358490566,0.0377358490566,0.00754716981132,0.022641509434,0.0,0.0188679245283,0.00754716981132,0.0,0.011320754717,0.00754716981132,0.0,0.00754716981132,0.00754716981132,0.0,0.0,0.0,0.00377358490566,0.022641509434,0.00377358490566,0.00754716981132,0.0,0.00377358490566,0.0415094339623,0.00377358490566,0.0,0.0,0.0,0.00754716981132,0.00377358490566,0.00377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22264150943,0.475471698113,534.0,0.162264150943
